Time,Temperature,Humidity,Precipitation,VWC_1,pF_1,SoilTemperature_1,VWC_2,pF_2,SoilTemperature_2,VWC_3,pF_3,SoilTemperature_3,VWC_4,pF_4,SoilTemperature_4
2017/4/10 0:00,2.2,89.407,0,42.251,#N/A,#N/A,40.992,2.237,10.9,45.201,2.124,10.9,35.4,2.049,10.9
2017/4/10 1:00,1.7,91.212,0,42.632,#N/A,#N/A,40.992,2.231,10.8,45.201,2.111,10.8,35.4,2.042,10.9
2017/4/10 2:00,1.3,92.377,0,43.49,#N/A,#N/A,40.992,2.224,10.8,45.201,2.1,10.8,35.4,2.036,10.9
2017/4/10 3:00,1,92.87,0,42.555,#N/A,#N/A,40.992,2.217,10.8,45.201,2.091,10.8,35.4,2.03,10.9
2017/4/10 4:00,0.8,92.674,0,42.175,#N/A,#N/A,40.992,2.209,10.8,45.201,2.083,10.8,35.4,2.026,10.9
2017/4/10 5:00,0.4,92.213,0,42.1,#N/A,#N/A,40.992,2.202,10.8,45.201,2.075,10.8,35.4,2.026,10.9
2017/4/10 6:00,0.7,93.346,0,42.1,#N/A,#N/A,40.992,2.194,10.8,45.201,2.069,10.8,35.4,2.022,10.8
2017/4/10 7:00,2.9,86.394,0,42.327,#N/A,#N/A,40.992,2.187,10.8,45.201,2.064,10.8,35.3,2.022,10.8
2017/4/10 8:00,10.8,60.256,0,42.863,#N/A,#N/A,40.992,2.18,10.8,45.201,2.059,10.7,35.3,2.022,10.8
2017/4/10 9:00,16.5,45.851,0,43.648,#N/A,#N/A,40.992,2.174,10.7,45.201,2.055,10.7,35.2,2.022,10.7
2017/4/10 10:00,17.5,35.529,0,43.411,#N/A,#N/A,40.992,2.169,10.7,45.201,2.053,10.7,35.2,2.02,10.7
2017/4/10 11:00,19,32.337,0,43.019,#N/A,#N/A,40.992,2.163,10.7,45.201,2.05,10.7,35.2,2.017,10.7
2017/4/10 12:00,20.2,27.9,0,43.411,#N/A,#N/A,40.992,2.158,10.7,45.201,2.046,10.7,35.2,2.017,10.6
2017/4/10 13:00,21.5,27.317,0,42.327,#N/A,#N/A,40.992,2.154,10.6,45.201,2.045,10.6,35.2,2.017,10.6
2017/4/10 14:00,22.5,24.599,0,42.403,#N/A,#N/A,40.992,2.149,10.6,45.201,2.042,10.6,35.2,2.017,10.5
2017/4/10 15:00,21.9,24.372,0,43.253,#N/A,#N/A,40.992,2.145,10.6,45.201,2.042,10.6,35.1,2.017,10.5
2017/4/10 16:00,19.7,30.958,0,43.253,#N/A,#N/A,40.92,2.141,10.5,45.201,2.038,10.5,35.1,2.017,10.4
2017/4/10 17:00,16.4,37.022,0,42.786,#N/A,#N/A,40.92,2.136,10.5,45.201,2.038,10.5,35.1,2.017,10.4
2017/4/10 18:00,12,49.945,0,44.95,#N/A,#N/A,40.92,2.131,10.5,45.201,2.038,10.5,35.1,2.014,10.4
2017/4/10 19:00,8.1,64.843,0,43.49,#N/A,#N/A,40.848,2.127,10.5,45.201,2.035,10.5,35.1,2.013,10.4
2017/4/10 20:00,6.2,71.747,0,41.726,#N/A,#N/A,40.848,2.124,10.4,45.201,2.034,10.4,35.1,2.013,10.4
2017/4/10 21:00,4.7,80.796,0,41.577,#N/A,#N/A,40.848,2.121,10.4,45.201,2.034,10.4,35.1,2.013,10.4
2017/4/10 22:00,4.5,81.934,0,41.577,#N/A,#N/A,40.848,2.118,10.4,45.201,2.034,10.4,35.1,2.013,10.4
2017/4/10 23:00,3.3,85.274,0,41.577,#N/A,#N/A,40.848,2.116,10.4,45.201,2.034,10.4,35,2.013,10.4
2017/4/11 0:00,3.1,87.799,0,41.8,#N/A,#N/A,40.848,2.113,10.4,45.201,2.034,10.4,35,2.013,10.4
2017/4/11 1:00,2.7,87.629,0,41.726,#N/A,#N/A,40.848,2.113,10.4,45.201,2.034,10.4,35,2.013,10.4
2017/4/11 2:00,2,89.275,0,43.569,#N/A,#N/A,40.848,2.11,10.4,45.201,2.034,10.4,35,2.013,10.5
2017/4/11 3:00,2.7,87.629,0,52.192,#N/A,#N/A,40.848,2.109,10.4,45.201,2.034,10.4,35,2.013,10.5
2017/4/11 4:00,2.2,88.01,0,48.655,#N/A,#N/A,40.848,2.109,10.4,45.201,2.034,10.4,35,2.013,10.5
2017/4/11 5:00,1.9,89.916,0,51.274,#N/A,#N/A,40.848,2.106,10.5,45.201,2.034,10.4,35,2.013,10.5
2017/4/11 6:00,2.4,90.896,0,45.117,#N/A,#N/A,40.848,2.106,10.5,45.201,2.034,10.4,35,2.012,10.5
2017/4/11 7:00,4.6,90.796,0,45.879,#N/A,#N/A,40.848,2.104,10.5,45.201,2.034,10.4,35,2.011,10.5
2017/4/11 8:00,9.4,86.533,0,42.251,#N/A,#N/A,40.848,2.102,10.5,45.201,2.034,10.4,35,2.009,10.5
2017/4/11 9:00,17,77.989,0,42.175,#N/A,#N/A,40.848,2.102,10.4,45.369,2.034,10.4,35,2.009,10.4
2017/4/11 10:00,16.6,53.506,0,43.569,#N/A,#N/A,40.776,2.102,10.4,45.369,2.032,10.4,35,2.009,10.4
2017/4/11 11:00,14.8,52.908,0,43.332,#N/A,#N/A,40.776,2.099,10.4,45.453,2.03,10.4,35,2.009,10.4
2017/4/11 12:00,11.2,70.712,1,44.619,#N/A,#N/A,40.776,2.099,10.4,45.369,2.03,10.4,35,2.009,10.4
2017/4/11 13:00,10.3,80.668,4,50.478,#N/A,#N/A,40.704,2.098,10.4,45.453,2.03,10.4,35,2.009,10.3
2017/4/11 14:00,9.8,85.891,4,68.864,#N/A,#N/A,40.776,2.095,10.4,45.538,2.007,10.3,36.1,2.007,10.3
2017/4/11 15:00,9.6,88.726,1,56.904,#N/A,#N/A,41.651,2.025,10.4,45.879,2.004,10.3,39.9,2.004,10.3
2017/4/11 16:00,9.6,87.052,1,51.679,#N/A,#N/A,42.1,2.017,10.3,46.051,2.004,10.3,39.9,2.004,10.3
2017/4/11 17:00,9.8,85.065,0,46.485,#N/A,#N/A,42.327,2.017,10.3,46.051,2.004,10.3,39.7,2,10.2
2017/4/11 18:00,9.2,86.847,1,46.925,#N/A,#N/A,42.327,2.017,10.3,46.051,2.001,10.3,39.5,2,10.2
2017/4/11 19:00,8.9,88.622,0,47.282,#N/A,#N/A,42.327,2.017,10.3,46.051,2,10.3,39.4,2,10.2
2017/4/11 20:00,9,88.897,0,46.485,#N/A,#N/A,42.327,2.017,10.3,46.051,2,10.3,39.4,2,10.2
